Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.36733,0.19767,-0.051276,0,0,0,0.45319,0.020814,-0.00050025,1.72E-18,0.0011199,9.0967E-18,0.021684,0,0,0,0,0,0,package://urdf_assembly1/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_assembly1/meshes/base_link.STL,,Track 1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.33558,-0.090958,0.37115,0,0,0,0.70484,0.00091738,-8.2523E-05,-0.00014882,0.00072923,3.1654E-05,0.00098046,0,0,0,0,0,0,package://urdf_assembly1/meshes/link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_assembly1/meshes/link_1.STL,,Mount-1,Origin_Joint_12,Axis_Joint_12,Joint_1,fixed,-0.4994,0,-0.0495,-1.5708,0,-0.80907,base_link,0,0,0,,,,,,,,,,,,
link_2,0.051093,-0.16983,0.0013204,0,0,0,0.57902,0.0065109,0.00091045,-0.00021122,0.00056122,0.00090276,0.0065062,0,0,0,0,0,0,package://urdf_assembly1/meshes/link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_assembly1/meshes/link_2.STL,,Arm 1-2,Origin_joint_22,Axis_joint_22,joint_2,revolute,0.34191,-0.1615,0.35849,0.25935,0.032384,-0.24709,link_1,0.72365,0,-0.69017,0.7,0.5,-1,1.5,,,,,,,,
link_3,0.039877,-0.16983,0.012018,0,0,0,0.57902,0.0065109,0.00091045,-0.00021122,0.00056122,0.00090276,0.0065062,0,0,0,0,0,0,package://urdf_assembly1/meshes/link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_assembly1/meshes/link_3.STL,,Arm 1-3,Origin_joint_32,Axis_joint_32,joint_3,revolute,0.043186,-0.2934,0.045281,-3.1201,-0.00022092,-3.1211,link_2,0.72365,0,-0.69017,0.7,0,-1,1.5,,,,,,,,
link_4,0.073794,-0.020494,0.034442,0,0,0,0.17249,0.00030529,3.4012E-05,-0.0002374,0.00056091,3.5666E-05,0.00028271,0,0,0,0,0,0,package://urdf_assembly1/meshes/link_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_assembly1/meshes/link_4.STL,,wrist-1,Origin_joint_42,Axis_joint_42,joint_4,revolute,0.043186,-0.2934,0.045281,-2.0851,-0.60331,-2.1619,link_3,0.72365,0,-0.69017,0.7,0.5,-1,1.5,,,,,,,,
